,Patent,primary_subclass,Citation,GDate
1675799,4218760,209,4159536,1980-08-19
1713657,4212077,272,3328764,1980-07-08
1713658,4212077,272,3501746,1980-07-08
1713659,4212077,272,3610902,1980-07-08
1713660,4212077,272,3618032,1980-07-08
1713661,4212077,272,3675208,1980-07-08
1713662,4212077,272,3760375,1980-07-08
1713663,4212077,272,3786429,1980-07-08
1713664,4212077,272,3815104,1980-07-08
1713665,4212077,272,3848232,1980-07-08
1713666,4212077,272,3915278,1980-07-08
1713667,4212077,272,4016365,1980-07-08
1713668,4212077,272,4028538,1980-07-08
1713669,4212077,272,4041467,1980-07-08
1794925,4197590,781,3437873,1980-04-08
1794926,4197590,781,3499979,1980-04-08
1794927,4197590,781,3641555,1980-04-08
1794928,4197590,781,3648245,1980-04-08
1794929,4197590,781,3697678,1980-04-08
1794930,4197590,781,3716842,1980-04-08
1794931,4197590,781,3858198,1980-04-08
1794932,4197590,781,3891792,1980-04-08
1794933,4197590,781,3906480,1980-04-08
1794934,4197590,781,3976982,1980-04-08
1794935,4197590,781,3996585,1980-04-08
1807352,4195353,210,3760375,1980-03-25
1807353,4195353,210,3786429,1980-03-25
1807354,4195353,210,3916382,1980-03-25
1807355,4195353,210,4028538,1980-03-25
1807445,4195338,209,3037192,1980-03-25
1807446,4195338,209,3187321,1980-03-25
1807447,4195338,209,3191006,1980-03-25
1807448,4195338,209,3241120,1980-03-25
1807449,4195338,209,3325786,1980-03-25
1807450,4195338,209,3389404,1980-03-25
1807451,4195338,209,3394366,1980-03-25
1807452,4195338,209,3396377,1980-03-25
1819915,4193112,200,3602893,1980-03-11
1819916,4193112,200,3623005,1980-03-11
1819917,4193112,200,3641555,1980-03-11
1819918,4193112,200,3641558,1980-03-11
1819919,4193112,200,3675208,1980-03-11
1819920,4193112,200,3688275,1980-03-11
1819921,4193112,200,3696392,1980-03-11
1819922,4193112,200,3701988,1980-03-11
1819923,4193112,200,3750147,1980-03-11
1819924,4193112,200,3778775,1980-03-11
1819925,4193112,200,3798610,1980-03-11
1819926,4193112,200,3800288,1980-03-11
1819927,4193112,200,3810107,1980-03-11
1819928,4193112,200,3848232,1980-03-11
1819929,4193112,200,3872446,1980-03-11
1819930,4193112,200,3903510,1980-03-11
1819931,4193112,200,3906480,1980-03-11
1819932,4193112,200,3909818,1980-03-11
1819933,4193112,200,3973244,1980-03-11
1819934,4193112,200,4057849,1980-03-11
1819935,4193112,200,4070710,1980-03-11
1819936,4193112,200,4127851,1980-03-11
1881140,4181972,209,3307154,1980-01-01
1881141,4181972,209,3439341,1980-01-01
1881142,4181972,209,3529296,1980-01-01
1881143,4181972,209,3537076,1980-01-01
1881144,4181972,209,3991405,1980-01-01
1881145,4181972,209,4028677,1980-01-01
1887339,4308582,236,3533076,1981-12-29
1887340,4308582,236,3585597,1981-12-29
1887341,4308582,236,3618032,1981-12-29
1887342,4308582,236,3654609,1981-12-29
1887343,4308582,236,3737863,1981-12-29
1887344,4308582,236,3815104,1981-12-29
1887345,4308582,236,3949375,1981-12-29
1887346,4308582,236,3996562,1981-12-29
1887347,4308582,236,4010356,1981-12-29
1907878,4305131,716,3601530,1981-12-08
1907879,4305131,716,3662374,1981-12-08
1907880,4305131,716,3721757,1981-12-08
1907881,4305131,716,3747087,1981-12-08
1907882,4305131,716,3778058,1981-12-08
1907883,4305131,716,3825674,1981-12-08
1907884,4305131,716,3878560,1981-12-08
1907885,4305131,716,3883850,1981-12-08
