,0
883,5345552
884,5345551
885,5345550
886,5345549
887,5343220
888,5341469
889,5341293
890,5339393
891,5339392
892,5339390
893,5339389
894,5339388
895,5337407
896,5337406
897,5337405
898,5337233
899,5335323
900,5333272
901,5333256
902,5333255
903,5333254
904,5333253
905,5333252
906,5331557
907,5331555
908,5327529
909,5327528
910,5327157
911,5325481
912,5325478
913,5325297
914,5321804
915,5321803
916,5321801
917,5321423
918,5319790
919,5319747
920,5319746
921,5319745
922,5319552
923,5319384
924,5317688
925,5317687
926,5317686
927,5317683
928,5317511
929,5317507
930,5315703
931,5315697
932,5313575
933,5313574
934,5312478
935,5309556
936,5309555
937,5307464
938,5307457
939,5307456
940,5307267
941,5307266
942,5307086
943,5305435
944,5305434
945,5305208
946,5305207
947,5305206
948,5305205
949,5303388
950,5303146
951,5302967
952,5301336
953,5301270
954,5299307
955,5299305
956,5299304
957,5299303
958,5297253
959,5297252
960,5297251
961,5297250
962,5297249
963,5297245
964,5297041
965,5297027
966,5295244
967,5295243
968,5295242
969,5295241
970,5295236
971,5295069
972,5293479
973,5293478
974,5293476
975,5293475
976,5293474
977,5293473
978,5293314
979,5291602
980,5291405
981,5289574
982,5289573
983,5289572
984,5289571
985,5289570
986,5289569
987,5287538
988,5287514
989,5287448
990,5287447
991,5287445
992,5287444
993,5287443
994,5287091
995,5285526
996,5283887
997,5283865
998,5283864
999,5283863
1000,5283861
1001,5283561
1002,5283560
1003,5282267
1004,5280575
1005,5280574
1006,5280573
1007,5280430
1008,5278953
1009,5278952
1010,5276816
1011,5276797
1012,5276796
1013,5276795
1014,5276794
1015,5276793
1016,5276792
1017,5276791
1018,5276437
1019,5479603
1020,5479602
1021,5479601
1022,5479600
1023,5479599
1024,5479598
1025,5479597
1026,5479596
1027,5477236
1028,5475851
1029,5475841
1030,5475812
1031,5475810
1032,5475805
1033,5475616
1034,5473747
1035,5473746
1036,5473745
1037,5473744
1038,5473343
1039,5471612
1040,5471577
1041,5471576
1042,5471575
1043,5469540
1044,5469539
1045,5467451
1046,5467450
1047,5467448
1048,5467447
1049,5467288
1050,5465378
1051,5465358
1052,5465327
1053,5465326
1054,5463731
1055,5463730
1056,5463728
1057,5463727
1058,5463726
1059,5463725
1060,5463724
1061,5463547
1062,5461716
1063,5461711
1064,5461710
1065,5461709
1066,5461399
1067,5459832
1068,5459831
1069,5459827
1070,5459826
1071,5459825
1072,5457776
1073,5457476
1074,5455910
1075,5455904
1076,5455903
1077,5455901
1078,5455898
1079,5454074
1080,5454073
1081,5454072
1082,5452439
1083,5452416
1084,5452415
1085,5452414
1086,5452413
1087,5452206
1088,5450598
1089,5450590
1090,5450569
1091,5450541
1092,5450540
1093,5450539
1094,5450538
1095,5450537
1096,5450536
1097,5448696
1098,5448693
1099,5448692
1100,5448691
1101,5448690
1102,5448475
1103,5448473
1104,5446838
1105,5446837
1106,5444843
1107,5444842
1108,5444841
1109,5444829
1110,5442795
1111,5442788
1112,5442746
1113,5442745
1114,5442744
1115,5442742
1116,5440699
1117,5440680
1118,5440678
1119,5440677
1120,5438664
1121,5438662
1122,5438661
1123,5438660
1124,5438659
1125,5438658
1126,5438657
1127,5438512
1128,5437014
1129,5437010
1130,5437008
1131,5437007
1132,5437006
1133,5437005
1134,5436830
1135,5436637
1136,5434965
1137,5434964
1138,5434963
1139,5434962
1140,5434961
1141,5434960
1142,5432903
1143,5432902
1144,5432901
1145,5432900
1146,5432899
1147,5432890
1148,5432713
1149,5430840
1150,5430839
1151,5430838
1152,5430837
1153,5430836
1154,5430835
1155,5428738
1156,5428736
1157,5428735
1158,5428734
1159,5428733
1160,5428732
1161,5428731
1162,5428730
1163,5428729
1164,5428727
1165,5428529
1166,5426732
1167,5426730
1168,5426725
1169,5425141
1170,5425140
1171,5425138
1172,5422993
1173,5422992
1174,5420978
1175,5420977
1176,5420976
1177,5420975
1178,5420974
1179,5420973
1180,5418898
1181,5418718
1182,5418549
1183,5418548
1184,5416904
1185,5416903
1186,5416902
1187,5416901
1188,5416900
1189,5416896
1190,5416895
1191,5414810
1192,5414809
1193,5414808
1194,5414806
1195,5414805
1196,5412776
1197,5412775
1198,5412774
1199,5412773
1200,5412772
1201,5412566
1202,5412400
1203,5410646
1204,5408675
1205,5408655
1206,5408603
1207,5408602
1208,5408601
1209,5408600
1210,5408599
1211,5406307
1212,5404444
1213,5404442
1214,5404441
1215,5404440
1216,5404439
1217,5404437
1218,5404435
1219,5404434
1220,5404433
1221,5404432
1222,5404316
1223,5404294
1224,5400243
1225,5398310
1226,5398308
1227,5398044
1228,5396621
1229,5396591
1230,5396590
1231,5396589
1232,5396588
1233,5396587
1234,5396264
1235,5396263
1236,5394522
1237,5394521
1238,5392447
1239,5392390
1240,5392389
1241,5392388
1242,5392387
1243,5392386
1244,5392212
1245,5390354
1246,5390296
1247,5390295
1248,5389947
1249,5388203
1250,5388202
1251,5388201
1252,5388200
1253,5388199
1254,5388198
1255,5388197
1256,5388196
1257,5388194
1258,5386581
1259,5386572
1260,5386507
1261,5386506
1262,5386505
1263,5386503
1264,5384910
1265,5384909
1266,5384907
1267,5384886
1268,5384703
1269,5384700
1270,5381524
